epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,6389.97,1.4135,1.0717,0.9307,0.38732,0.31249,0.29844,0.16919,1.40246,1.05774,0.92628,0.0002575,0.0002575,0.0002575
77,6473.13,1.40772,1.0682,0.92926,0.3932,0.30629,0.29688,0.1688,1.40226,1.05647,0.92605,0.0002476,0.0002476,0.0002476
78,6557.16,1.41088,1.06759,0.93002,0.39464,0.30781,0.29784,0.16913,1.40129,1.05563,0.92526,0.0002377,0.0002377,0.0002377
79,6640.98,1.4067,1.06284,0.92863,0.39686,0.30944,0.29821,0.16982,1.40128,1.05584,0.9253,0.0002278,0.0002278,0.0002278
80,6724.38,1.40091,1.05982,0.92733,0.39487,0.31112,0.299,0.17016,1.40058,1.05461,0.92569,0.0002179,0.0002179,0.0002179
81,6808.13,1.40646,1.06206,0.92744,0.3938,0.31309,0.29837,0.16993,1.40124,1.05364,0.92624,0.000208,0.000208,0.000208
82,6891.63,1.40573,1.06017,0.92965,0.3969,0.30987,0.2987,0.16971,1.40306,1.05448,0.92664,0.0001981,0.0001981,0.0001981
83,6976.07,1.40552,1.06215,0.92811,0.39538,0.31027,0.2991,0.17058,1.40125,1.05237,0.9262,0.0001882,0.0001882,0.0001882
84,7059.46,1.40394,1.05952,0.92704,0.39005,0.31272,0.29995,0.17068,1.39997,1.05169,0.92555,0.0001783,0.0001783,0.0001783
85,7142.96,1.39433,1.05548,0.92673,0.39855,0.30989,0.30154,0.17144,1.40071,1.05114,0.92562,0.0001684,0.0001684,0.0001684
86,7226.58,1.4048,1.05717,0.9277,0.40026,0.30957,0.30103,0.17178,1.40122,1.05045,0.9258,0.0001585,0.0001585,0.0001585
87,7310.1,1.4032,1.0606,0.92829,0.39826,0.31103,0.30214,0.17221,1.40008,1.05005,0.9256,0.0001486,0.0001486,0.0001486
88,7393.55,1.39569,1.05172,0.92497,0.40064,0.31076,0.30302,0.17247,1.39989,1.04955,0.92538,0.0001387,0.0001387,0.0001387
89,7477.47,1.40482,1.05435,0.92974,0.39885,0.31129,0.30244,0.17214,1.39994,1.04892,0.9255,0.0001288,0.0001288,0.0001288
90,7561.7,1.4026,1.05865,0.92805,0.397,0.31415,0.30184,0.17202,1.39944,1.04955,0.92589,0.0001189,0.0001189,0.0001189
91,7640.3,1.38082,1.07276,0.9308,0.39835,0.30997,0.29839,0.17058,1.40534,1.05623,0.92644,0.000109,0.000109,0.000109
92,7716.85,1.3681,1.04666,0.92606,0.39094,0.30717,0.29724,0.16966,1.40821,1.05871,0.92659,9.91e-05,9.91e-05,9.91e-05
93,7792.93,1.3595,1.03998,0.92516,0.3851,0.30926,0.29739,0.16969,1.40885,1.05825,0.92675,8.92e-05,8.92e-05,8.92e-05
94,7869.21,1.36023,1.03667,0.92581,0.39051,0.30693,0.29778,0.16979,1.40785,1.05763,0.92672,7.93e-05,7.93e-05,7.93e-05
95,7945.21,1.35447,1.02938,0.9242,0.38614,0.31001,0.29835,0.16974,1.40748,1.05665,0.92665,6.94e-05,6.94e-05,6.94e-05
96,8021.37,1.35418,1.02936,0.92341,0.38774,0.30882,0.29806,0.16984,1.40645,1.05602,0.92641,5.95e-05,5.95e-05,5.95e-05
97,8097.25,1.35369,1.02904,0.92305,0.38939,0.30991,0.29855,0.16973,1.40598,1.05583,0.92641,4.96e-05,4.96e-05,4.96e-05
98,8173.31,1.35416,1.02662,0.92235,0.38756,0.31024,0.29865,0.16966,1.40653,1.05533,0.92632,3.97e-05,3.97e-05,3.97e-05
99,8249.06,1.35328,1.02715,0.92354,0.39028,0.30856,0.29849,0.16981,1.40615,1.05509,0.92626,2.98e-05,2.98e-05,2.98e-05
100,8325.15,1.34854,1.02397,0.92313,0.38617,0.30892,0.29842,0.16984,1.40571,1.05472,0.92598,1.99e-05,1.99e-05,1.99e-05
