epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,18122.2,1.02474,0.59673,0.87343,0.54655,0.41515,0.43463,0.26785,1.1497,0.81921,0.89777,0.0004357,0.0004357,0.0004357
59,18434.2,1.031,0.5997,0.87472,0.53363,0.42309,0.43477,0.26825,1.15011,0.82028,0.8982,0.0004258,0.0004258,0.0004258
60,18746.8,1.02841,0.59801,0.87228,0.54707,0.41773,0.43606,0.26835,1.15103,0.82442,0.89848,0.0004159,0.0004159,0.0004159
61,19058.7,1.02498,0.59453,0.87107,0.56616,0.41257,0.43661,0.26938,1.14573,0.82149,0.89806,0.000406,0.000406,0.000406
62,19370.5,1.02358,0.5906,0.87215,0.54383,0.41947,0.43389,0.26823,1.15189,0.82416,0.89821,0.0003961,0.0003961,0.0003961
63,19682.7,1.02661,0.59208,0.87213,0.54047,0.41965,0.43472,0.26759,1.1511,0.82478,0.899,0.0003862,0.0003862,0.0003862
64,19995,1.02033,0.58876,0.87139,0.54792,0.41354,0.43308,0.26726,1.151,0.82788,0.89899,0.0003763,0.0003763,0.0003763
65,20307.2,1.02055,0.58803,0.8706,0.54732,0.41681,0.43378,0.26717,1.15364,0.82712,0.90005,0.0003664,0.0003664,0.0003664
66,20619.1,1.01855,0.58555,0.86917,0.55448,0.41174,0.43555,0.26747,1.14865,0.82771,0.90016,0.0003565,0.0003565,0.0003565
67,20931.4,1.01301,0.58157,0.86762,0.54016,0.41512,0.43311,0.26588,1.15172,0.82707,0.90028,0.0003466,0.0003466,0.0003466
68,21243.4,1.00983,0.57809,0.86937,0.55134,0.41581,0.43461,0.26801,1.15219,0.82825,0.90052,0.0003367,0.0003367,0.0003367
69,21555.1,1.00531,0.57504,0.86818,0.53675,0.42511,0.43515,0.26732,1.15143,0.82758,0.90065,0.0003268,0.0003268,0.0003268
70,21866.8,1.01246,0.57966,0.86983,0.5398,0.42024,0.43412,0.26773,1.15149,0.82944,0.90002,0.0003169,0.0003169,0.0003169
71,22178.9,1.00634,0.57322,0.86979,0.54834,0.41755,0.43618,0.26828,1.15477,0.83027,0.90046,0.000307,0.000307,0.000307
72,22491.1,1.00637,0.57354,0.86815,0.5466,0.41722,0.43651,0.26933,1.15147,0.8297,0.89936,0.0002971,0.0002971,0.0002971
73,22803.1,0.99708,0.56528,0.86625,0.53765,0.42044,0.43503,0.26761,1.15279,0.83414,0.89988,0.0002872,0.0002872,0.0002872
74,23115.2,1.00109,0.56874,0.86709,0.54392,0.42045,0.43533,0.26707,1.15033,0.83338,0.89878,0.0002773,0.0002773,0.0002773
75,23427,0.98697,0.55842,0.86517,0.54977,0.41871,0.4348,0.26804,1.15146,0.83487,0.89977,0.0002674,0.0002674,0.0002674
76,23738.9,0.99729,0.56613,0.86614,0.54605,0.42187,0.43566,0.26761,1.15065,0.83639,0.90024,0.0002575,0.0002575,0.0002575
77,24050.8,0.995,0.56286,0.8651,0.5476,0.41985,0.43417,0.26741,1.14954,0.83338,0.89959,0.0002476,0.0002476,0.0002476
78,24362.9,0.99293,0.55962,0.86515,0.55565,0.41577,0.4356,0.2676,1.15174,0.83674,0.89991,0.0002377,0.0002377,0.0002377
79,24674.8,0.98983,0.55626,0.86382,0.5347,0.42588,0.43497,0.26777,1.15074,0.83164,0.90024,0.0002278,0.0002278,0.0002278
80,24986.8,0.98336,0.55385,0.86308,0.54144,0.4208,0.43397,0.267,1.15251,0.83422,0.90158,0.0002179,0.0002179,0.0002179
81,25299,0.98713,0.555,0.86264,0.54963,0.41506,0.43453,0.26715,1.15168,0.8349,0.90129,0.000208,0.000208,0.000208
82,25611,0.98454,0.55215,0.86383,0.5567,0.41416,0.43597,0.26785,1.15322,0.83283,0.90138,0.0001981,0.0001981,0.0001981
83,25923.3,0.98602,0.55447,0.86285,0.54976,0.41609,0.43445,0.26711,1.1529,0.83419,0.90144,0.0001882,0.0001882,0.0001882
84,26235.4,0.98303,0.55203,0.86149,0.54299,0.42011,0.43425,0.26706,1.15192,0.83528,0.90156,0.0001783,0.0001783,0.0001783
